List of Valid Insurance Brokers as on 15.05.2021,,,,,,,,,,
Sl No,"Certificate of 
Registration No.",,Name of the Broker,Address,Phone No,Category of Broker,Principal Officer,Validity of license,,PO E-Maild Id
294,521,,Berns Brett India Insurance Broking Pvt Ltd,"Flat No 708, 7th Floor Siddartha Building  96 Nehru Place NEW DELHI NEW DELHI 110019",1145061591,Composite Broker,SHANKAR MANGTANI,17-Apr-2021,16-Apr-2024,shankar.mangtani@bernsbrettindia.com
295,523,,Surakshachakra insurance brokers Pvt. Ltd.,LGF-143 Khazana Complex  Aashiana Colony LUCKNOW LUCKNOW 226012,+91-9838500480,Direct Broker (Life & General),RC Shukla,22-Apr-2021,21-Apr-2024,zahiratariq@gmail.com
296,525,,Gomti Insurance Broking Pvt. Ltd.,"ROOM NO. 517, LSE BUILDING,  FEROZE GANDHI MARKET LUDHIANA LUDHIANA 141401",9781885558,Direct Broker (Life & General),PARMOHIT BHATIA,27-May-2018,26-May-2021,gomtibroker@gmail.com
297,526,,Arion Insurance Brokers Pvt. Ltd.,"2E/8, IInd FLOOR JHANDEWALAN EXTENSION,  DELHI NEW DELHI CENTRAL DELHI 110055",9599387886,Direct Broker (Life & General),SANJAY CHOPRA,27-May-2018,26-May-2021,po@arioninsurancebrokers.com
298,527,,Open World Insurance Broking Ltd.,"plot no 26 27, 1st floor, eshika building prasanth hills, raidurgam  hyderabad HYDERABAD HYDERABAD 500008",9820074620,Direct Broker (Life & General),Palavalasa Sai Kamalakar Rao,29-Jun-2018,28-Jun-2021,openworldboz@gmail.com
299,528,,Probitas Insurance Brokers Pvt. Ltd.,"22, Floor 2, Plot 40A, Manoj Industrial Estate, G D Ambekar Marg,  Wadala MUMBAI MUMBAI 400031",2243020000,Direct Broker (General),DHARA DOSHI,06-Jul-2018,05-Jul-2021,INFO@PROBITAS.IN
300,529,,Heartbeat Insurance Brokers Private Limited,"A-202,KOTIA NIRMAN ,2ND FLOOR NEW LINK ROAD  ANDHERI WEST MUMBAI MUMBAI 400053",8500749297,Direct Broker (Life & General),KESHAR SINGH,14-Jul-2018,13-Jul-2021,punit.anand@heartbeatinsurance.com
301,530,,Shield Insurance Broking Solution Pvt. Ltd.,HNO -1258 FIRST FLOOR  ROAD NO 63 NEAR JUBILEE HILLS CHECK POST HYDERABAD HYDERABAD 500033,04023544494,Direct Broker (Life & General),VIJAY KUMAR MAISTRY,16-Jul-2018,15-Jul-2021,vijayreddym@shieldsolutions.in
302,532,,Basket Option Insurance Brokers Pvt Ltd,"#2307, ""Swanlines"", Ground floor,  III Block Jayanagar East BANGALORE BANGALORE 560011",9844-600288,Direct Broker (Life & General),S M Y ATHAR,03-Aug-2018,02-Aug-2021,po.boib@boib.in
303,533,,Saferisk Insurance Brokers Pvt. Ltd.,"GA 120, Gayatgri Vihar Patia Chandrasekharpur  Bhubaneswar BHUBANESWAR KHORDA 751024",6742741322,Direct Broker (Life & General),SANDIP KUMAR GHATAK,04-Aug-2018,03-Aug-2021,po@saferisk.in
304,535,,Grovalue Insurance Broker Pvt Ltd,03 enterprise centre off Nehru Road Near Domestic airport Near Airlink hotel Mumbai  Mumbai MUMBAI MUMBAI 400099,7710009159,Direct Broker (Life & General),Suhasini Bansode,11-Aug-2018,10-Aug-2021,grovalueinsurance@gmail.com
305,536,,Raghnall Insurance Broking & Risk Management Pvt Ltd,"1012, Ghanshyam Enclave, Gandhi Nagar, New Link Road,   KANDIVALI WEST MUMBAI 400067",9821159207,Direct Broker (Life & General),Amit Goel,24-Aug-2018,23-Aug-2021,amit.goel@raghnall.co.in
306,537,,Preferred Partners Insurance Brokers Pvt. Ltd.,Ashoka House 3A Hare Street       700001,7603027005,Composite Broker,SAMIRAN LAHIRI,03-Sep-2018,02-Sep-2021,acc.del@ppib.in
307,538,,Global India Insurance Brokers Pvt. Ltd.,"518, Floor No:5TH, The Summit Business Bay,  Opposite Cinemax MUMBAI MUMBAI 400093",9323739632,Direct Broker (Life & General),Chandrra Kant Khatri,05-Oct-2018,04-Oct-2021,chandrrakant.khatri@giib.co.in
308,540,,Protect India Insurance Broking Services Pvt. Ltd.,"A-1001, BALAJI GARDEN CHS. PLOT NO. 17 SECTOR-11  KHOPAR KHAIRANE NAVI MUMBAI THANE 400709",9867744976,Direct Broker (Life & General),SUSANTA MOHAPATRA,13-Aug-2019,14-Oct-2021,po_protectindia@protectindiainsurance.com 
309,542,,Providence India Insurance Broking Private Limited.,"#6-3-1112, 1st Floor, AVR Towers, Adjacent Lane to Kirtilal Jewellers,  Somajiguda Circle, Hyderabad- 500016. HYDERABAD HYDERABAD 500016",8106602266,Composite Broker,K SRINIVASA MURARY,16-Oct-2018,15-Oct-2021,po_pib@providenceindia.in
310,543,,Sansom Insurance Brokers Pvt. Ltd.,"104, Kshitij building, veera desai road,  opp. Andheri sports complex, Andheri (w) MUMBAI MUMBAI 400058",9769393486,Direct Broker (Life & General),Anchal Mathur,10-Nov-2018,09-Nov-2021,po_amathur@sansominsure.in
311,545,,PCS Insurance Broking Pvt. Ltd.,"6-3-1239/4 & 4A, GULMOHAR AVENUE  RAJBHAVAN ROAD HYDERABAD HYDERABAD 500082",9652212111,Direct Broker (Life & General),RICHA B ATREY,20-Nov-2018,19-Nov-2021,RICHA@PCSINSURANCE.CO.IN
312,546,,Star Insurance Brokers Limited,RR AUTOMOBILES 661 662 AMODHA KALA  VIRAT NAGAR SATNA SATNA 485001,9760002241,Direct Broker (Life & General),PARITOSH PANDEY,21-Dec-2018,20-Dec-2021,principalofficer@stargroupindia.biz
313,547,,BYR Insurance Brokers Pvt. Ltd.,A 2 UDYOG NAGAR INDUTRIAL AREA ROHTAK ROAD  PEERAGARHI NEW DELHI WEST DELHI 110041,9811201838,Direct Broker (Life & General),PRANEET SHARMA,19-Jan-2019,18-Jan-2022,po.byr@byrpolicy.com
314,548,,Future First Insurance Broking Pvt. Ltd.,DLF Galleria Unit No. 1109  11th Floor  8 Major Arterial Road  New Town CALCUTTA CALCUTTA 700156,9830618550,Direct Broker (Life & General),K V Jayaraj,27-Jan-2019,26-Jan-2022,jayaraj@futurefirstindia.com
315,549,,Amaze Insurance Brokers Pvt. Ltd.,"VILLA NO 10 Richmond Villas  Suncity, Hydershakote RANGAREDDY K.V.RANGAREDDY 500086",9676671888,Direct Broker (Life & General),Dr Muralidhara Reddy Kothapalli,24-Feb-2019,23-Feb-2022,kmreddy1962@gmail.com
316,550,,Bonanza Insurance Broker Pvt. Ltd.,"4353/4C, 2nd Floor, Madan Mohan Street, Ansari road  Daryaganj, New Delhi NEW DELHI CENTRAL DELHI 110002",9818813020,Direct Broker (Life & General),Abhishek Misra,24-Feb-2019,23-Feb-2022,abhishek@policybonanza.com
317,551,,JRK Insurance Broking Pvt. Ltd.,1 OLD COURT HOUSE CORNER TOBACCO HOUSE 3RD FLOOR ROOM NO. 301   CALCUTTA CALCUTTA 700001,9903325155,Direct Broker (General),NIRAJ KUMAR JAIN,09-Mar-2019,08-Mar-2022,Pratik@jrkgroup.in
318,552,,Welltech Insurance Brokers Pvt. Ltd.,NO 59 SIVARAJDHANI COMPLAX JN ROAD  JAFERKHANPET CHENNAI CHENNAI 600083,9444250069,Direct Broker (Life & General),M.Rajandran,11-Mar-2019,10-Mar-2022,mr.po@wtib.in
319,553,,Peace Worth Insurance Brokers Pvt. Ltd.,9/2 GROUND FLOOR  EAST PATEL NAGAR DELHI EAST EAST DELHI 110008,1142248237,Direct Broker (Life & General),SHYAM SINGH BIST,11-Mar-2019,10-Mar-2022,PO_PEACEWORTHINSURANCEBROKERS@PEACEWORTHINSURANCE.COM
320,554,,Paavana Insurance Brokers Pvt Ltd,New no 80 2nd Floor  7th Avenue Ashok Nagar CHENNAI CHENNAI 600083,9791018237,Direct Broker (Life & General),S MOHAN,11-Mar-2019,10-Mar-2022,po@paavanains.co.in
321,555,,Epoch Insurance Brokers Pvt. Ltd.,7/58 S/F  OLD DOUBLE STOREY LAJPAT NAGAR-IV NEW DELHI NEW DELHI 110024,9811606106,Direct Broker (Life & General),PANKAJ CHAUHAN,11-Mar-2019,10-Mar-2022,pankajchauhan@epochbrokers.com
322,556,,Purple Pond Insurance Brokers Pvt. Ltd.,Suit No 113 Challamall First Floor Door No 11/11-A Sir Theyagaraya Road  T. Nagar Chennai CHENNAI CHENNAI 600017,9894310288,Direct Broker (Life & General),S Saravanan,23-Mar-2019,22-Mar-2022,saravanan@purplepond.in
323,557,,System-ethics Insurance Brokers Pvt. Ltd.,"HG-14, D-BLOCK INTERNATIONAL TRADE CENTER  MAJURAGATE SURAT SURAT 395002",9825348151,Direct Broker (Life & General),AMI PAREKH,30-Mar-2019,29-Mar-2022,jnp@systemethic.com
324,558,,Pureassure Insurance Brokers Pvt. Ltd.,"Office No. 122, Basement, Omaxe World Street , Sector-79, Faridabad , Hary na 121002       ",,Direct Broker (General),Shantanu Jain,30-Mar-2019,29-Mar-2022,PRINCIPALOFFICER@PUREASSUREIB.COM
325,559,,Accurate Risk Managers And Insurance Brokers Pvt. Ltd.,BORA LANDMARK KRISHNA COLONY LANE NO 10  SHIKSHAK NAGAR PUNE PUNE 411038,9765551600,Direct Broker (Life & General),Prashant Suresh Nagarkar,13-Apr-2019,12-Apr-2022,po_accurateinsurance.co.in
326,560,,SPS Consultants Insurance Brokers LLP,"4/5 Haji Kasam Bldg., 1st Floor 66 Tamarind Lane  Fort MUMBAI MUMBAI 400001",2262746274,Direct Broker (Life & General),HRIMA CHITALIA,27-Apr-2019,26-Apr-2022,hrima.chitalia@spsinsurance.in
327,561,,Instapolicy Insurance Broking Pvt. Ltd.,"Unit No. 811, Best Sky Tower Plot No. F-5  Netaji Subhash Place PITAMPURA II NORTH WEST DELHI 110034",9999887061,Direct Broker (Life & General),Dharmapal Puthran,27-Apr-2019,26-Apr-2022,po.instapolicy@gmail.com
328,562,,Saral Insurance Broking Pvt. Ltd.,405 ADARSH PLAZA KHASA KOTHI  JAIPUR JAIPUR JAIPUR 302001,9001821888,Direct Broker (Life & General),RAJESH KUMAR RASSEWAT,02-May-2019,01-May-2022,rajesh@sibpl.in
329,563,,Provincial Insurance Broking Pvt. Ltd.,PLOTNO-G-17/18 CENTRAL MIDC  HIGNA ROAD NAGPUR NAGPUR NAGPUR 440028,9371838951,Direct Broker (General),DR.ANIL VAIDYA,03-May-2019,02-May-2022,pibpl@provincialauto.com
330,564,,Jubiliant Insurance Broking Services Pvt Ltd.,"No:70/16 2nd floor Sundarbans Building  1st Avenue,Ashok Nagar CHENNAI CHENNAI 600083",9940133044,Direct Broker (Life & General),K.MANIKANDAN,26-May-2019,25-May-2022,jubiliantinsurancebroking@gmail.com
331,566,,JP Insurance Brokers Pvt. Ltd.,"401,402, Solitare, Near V Tek Furniture Gangabai Ghat Road, Bagadganj  Nagpur 440008 NAGPUR NAGPUR 440008",9423683335,Direct Broker (General),Prashant G Thorat,26-May-2019,25-May-2022,po_jpinsurancebrokers@yahoo.com
332,567,,RFL Insurance Broking Pvt.Ltd.,"801, Atlanta Centre Premises Co-Op. Society Ltd Sonawala Road,  Goregaon (E) GOREGAON EAST MUMBAI 400063",9769411021,Direct Broker (Life & General),MHD ISAQ ALI ANSARI,26-May-2019,25-May-2022,po@riskfreelife.com
333,568,,K-Secure Risk Management & Insurance Broking Pvt. Ltd.,PLOT NO. 177-E IND AREA  PHASE-1 CHANDIGARH CHANDIGARH 160002,9872700900,Direct Broker (Life & General),Pawan Taneja,31-May-2019,30-May-2022,pawan.taneja@ksecure.in
334,569,,Vibrant Insurance Broking Pvt. Ltd.,412 BALAJI PARAGON NEAR AXIS BANK OFF C G ROAD  LAW GARDEN AHMEDABAD AHMEDABAD 380006,9825015018,Direct Broker (General),Dhruvesh Shah,29-Jun-2019,28-Jun-2022,dhruvesh@vibrantinsurance.in
335,570,,Ramp Insurance Brokers Pvt. Ltd.,"18-B , BRABOURNE ROAD PNB HOUSE  1ST FLOOR KOLKATA KOLKATA 700001",9007366565,Direct Broker (Life & General),ANIL KUMAR PODDAR,04-Jul-2019,03-Jul-2022,rajeev.swaika@rampinsurance.com
336,571,,Samyag Insurance Broking LLP,C-4/5 GROUND FLOOR SATYAM SHOPPING CENTER  M G ROAD GHATKOPAR EAST MUMBAI MUMBAI 400077,2240236680,Direct Broker (Life & General),NIMESH R BHAYANI,19-Jul-2019,18-Jul-2022,po_samyaginsurance@yahoo.com
337,572,,Arunaya Insurance Brokers Pvt. Ltd.,"C-707, First Floor Palam Extn, Sector 7, Dwarka   NEW DELHI SOUTH WEST SOUTH WEST DELHI 110075",9650104254,Direct Broker (Life & General),Rakesh Kumar Kedia,25-Jul-2019,24-Jul-2022,PO_ARUNAYA@ARUNAYAINSURANCE.IN
338,574,,Ethika Insurance Broking Pvt Ltd.,P.No-1-88/136 Anjaiahnagar Kondapur  Gachibowli Road HYDERABAD K.V.RANGAREDDY 500032,8498094600,Direct Broker (Life & General),Sandeep Mukka,08-Aug-2019,07-Aug-2022,susheel.agarwal@ethika.co.in
339,575,,Shift Risk Insurance Brokers Limited,"B-501/502, 5th Floor, Pearl Belleza, 19th Road, Opp. Waman Hari Pethe Jewellers,  Chembur East, Mumbai - 400071 MUMBAI MUMBAI 400071",9820147474,Direct Broker (Life & General),KUNAL POPAT,25-Aug-2019,24-Aug-2022,KUNAL@SHIFTRISK.COM
340,576,,Pragmatic Insurance Broking Services Pvt. Ltd.,"SUITE NO 306, THIRD FLOOR , ASHOKA SCINTILLA BUILDING,HIMAYATHNAGAR,  HYDERABAD HYDERABAD HYDERABAD 500029",8886858589,Direct Broker (General),RAVI KANTH PAGOLU,14-Sep-2019,13-Sep-2022,po@pragmaticinsurance.com
341,577,,Sargam Insurance Brokers Pvt. Ltd.,2nd Floor Garg Trade centre Plot no 1 Sector 11 Rohini  Delhi     110085,7835004501,Direct Broker (Life & General),SURENDER PAL,21-Sep-2019,20-Sep-2022,po@sargaminsurance.in
342,578,,Rishabh Insurance Brokers Pvt. Ltd.,"202, SECOND FLOOR D-MALL, NETAJI SUBHASH PLACE  PITAMPURA DELHI NORTH WEST DELHI 110034",9811196671,Direct Broker (General),ARUN KUMAR JAIN,14-Oct-2019,13-Oct-2022,arunjaininsurance@gmail.com
343,579,,Quickinsure Insurance Brokers Pvt. Ltd.,102 Galore Tech IT Park LMD Square  Bavdhan PUNE PUNE 411021,9823361600,Direct Broker (General),Anand Shrikhande,21-Oct-2019,20-Oct-2022,anand@quickinsure.co.in
344,580,,Odin Insurance Broking Services Pvt. Ltd.,"102, 01st floor Hiramnia Enclave, Tilak Mandir road  Vile Parle East MUMBAI MUMBAI 400057",9820307217,Direct Broker (Life & General),ANOOP PANDHI,28-Nov-2019,27-Nov-2022,po.odininsurance@gmail.com
345,581,,Whiz Insurance Broking Services Pvt. Ltd.,"# 6-3-354/13,A1,Suryateja Apartments Hindi Nagr  Punjagutrta HYDERABAD K.V.RANGAREDDY 500082",9848065023,Direct Broker (Life & General),B.Anuradha Reddy,09-Dec-2019,08-Dec-2022,anuradhareddy@whizinsurance.com
346,582,,CKP Insurance Brokers Pvt. Ltd.,"Unit No. 523, 5th Floor, Omkar The Summit Business Bay, CTC 266/1 -172, Prakashwadi Sale Building Near Cinemax Cinema, Village Gundavali, A. K. Road  Andheri East     400093",2249399935,Direct Broker (Life & General),AMJAD KHAN,12-Jan-2020,11-Jan-2023,po@ckpinsurance.in
347,583,,Latin Manharlal Insurance Broking Pvt. Ltd.,"61 & 62,124 VIRAJ,6TH FLOOR  S.V.ROAD,KHAR -WEST MUMBAI MUMBAI 400052",8355944965,Direct Broker (Life & General),SREEKUMAR PRABHAKAR,24-Jan-2020,23-Jan-2023,bhavin@lminsurancebroking.com
348,584,,First Advisor Insurance Brokers Pvt. Ltd.,ROOM NO 312 3RD FLOOR SHRIRAM PLAZA BANK MORE  DHANBAD DHANBAD DHANBAD 826001,9431123615,Direct Broker (Life & General),VIKASH KUMAR TULSYAN,08-Feb-2020,07-Feb-2023,viktul@gmail.com
349,585,,Arka Insurance Broking Private Limited,V12 KIADB  KUMBALGODU BANGALORE BANGALORE 560074,7625062750,Direct Broker (Life & General),SHRIRAMCHANDRAN KANNAPIRAN,20-Feb-2020,19-Feb-2023,shriram@arkainsure.com
350,587,,Gosree Insurance Broking Services Pvt. Ltd.,"41/889-A3,2ND Floor ,Moopen complex NH Bypass  Padivattom,Edapally ERNAKULAM ERNAKULAM 682024",9544300968,Direct Broker (Life & General),MANOJ T ABRAHAM,20-Mar-2020,19-Mar-2023,support@gosreeinsurance.in
351,588,,Girnar Insurance Brokers Private Limited,"GIRNAR 21, GOVIND MARG Moti Doongri Road  Dharam Singh Circle JAIPUR JAIPUR 302004",8860157157,Direct Broker (Life & General),Raman Bawa,02-Nov-2020,19-Mar-2023,compliance@girnarinsurance.com
352,589,,Sanshi Insurance Brokers Pvt. Ltd.,SCO 16-17 FORTUNE CHAMBER FEROZE GANDHI MARKET  LUDHIANA LUDHIANA LUDHIANA 141001,8968900812,Direct Broker (Life & General),VIKRANT SHARMA,29-Mar-2020,28-Mar-2023,s.vikrant19@gmail.com
353,590,,Athena Insurance & Reinsurance Brokers Pvt. Ltd.,"Ground Floor, Wellington Business Park 1 Andheri - Kurla Road  Marol Naka MUMBAI MUMBAI 400059",2249613636,Composite Broker,Utpal Viren Kapadia,06-Apr-2020,05-Apr-2023,po@athenains.com
354,591,,Kataria Insurance Brokers Pvt. Ltd.,"201, 2ND FLOOR KATARIA ARCADE  NR ADANI VIDHYA MANDIR AHMEDABAD AHMEDABAD 380051",9824336399,Direct Broker (General),PALAK SHAH,06-Apr-2020,05-Apr-2023,palaks@kataria.co.in
355,592,,Qian Insurance Broking LLP,125-C 12th Floor Mittal Court 224 Jamnalal Bajaj Marg  Nariman Point MUMBAI MUMBAI 400021,9833276920,Direct Broker (Life & General),NAIMISH MUKESH SHAH,06-Apr-2020,05-Apr-2023,partners@qian.co.in
356,595,,Limitless Insurance Broking Services Pvt Ltd,"B1604, ASHOK GARDEN T J ROAD  SEWRI MUMBAI MUMBAI 400015",9819052099,Reinsurance Broker,AKSHAY MOR,28-Apr-2020,27-Apr-2023,reinsurance @limitlessgroup.in
357,597,,SECURISK INSURANCE BROKERS PRIVATE LIMITED,"33 Gr Flr Nirmal Chayya Apts  MIG Flats, Block C, Rishi Nagar LUDHIANA LUDHIANA 141001",9320317155,Direct Broker (General),Navin Kumar,01-May-2020,30-Apr-2023,posecurisk@gmail.com
358,598,,Impetus Insurance Brokers Pvt. Ltd.,S.No 3276 Arya Nagar  Bathinda BATHINDA BATHINDA 151001,9910714501,Direct Broker (Life & General),Sanjay Kumar Choudhary,05-May-2020,04-May-2023,po@impetusinsurance.in
359,599,,Apex Insurance Broking Services Pvt. Ltd.,6-3-229/E/31 Venkatgiri  Yousufguda HYDERABAD HYDERABAD 500045,6301798476,Direct Broker (Life & General),Pratapa Rama Mohan,31-May-2020,30-May-2023,info@apexinsurance.co.in
360,600,,Covermitra Insurance Broking Pvt. Ltd,C 415 TTC Industrial Area MIDC  Pawane Road Indira Nagar NAVI MUMBAI THANE 400701,9920457640,Direct Broker (Life & General),Shantilall Kumawat,02-Jun-2020,01-Jun-2023,shantilall@covermitra.com
361,601,,Centillion Insurance Brokers Limited,"1171, 11TH FLOOR AGGARWAL MILLENIUM TOWER-II, NETAJI SUBHASH PLACE  PITAMPURA DELHI NORTH WEST DELHI 110034",8586888078,Direct Broker (General),Mr. Ashok Jain,07-Jun-2020,06-Jun-2023,mayank@centillioncap.com
362,602,,Springdale Insurance Broking Pvt. Ltd.,PLOT NO 559 1ST FLOOR  SAHEED NAGAR BHUBANESWAR KHORDA 751007,7537003700,Direct Broker (Life & General),AVINASH PATIL,07-Jun-2020,06-Jun-2023,subrat.mohanty@springdaleinsurance.in
363,603,,WMG Risk Advisory and Insurance Broking Services Pvt Ltd,"No 21/19, Craig Park Layout, M.G Road, Bengaluru   BANGALORE BANGALORE 560001",8025597633,Direct Broker (Life & General),Rajesh Babu Sadashiva,12-Jun-2020,11-Jun-2023,rajeshbabus@wmgadvisers.com
364,604,,Isecure Insurance Brokers Pvt. Ltd.,"103, Antrikash Apartments Antrikash Apartments  Sector-45 GURGAON GURGAON 122003",9891798428,Direct Broker (Life & General),SURINDER KUMAR SHARMA,16-Jun-2020,15-Jun-2023,ISECUREINSURANCEBROKERS@GMAIL.COM
365,605,,Ensign Insurance Brokers Pvt. Ltd.,"AP-257, 42ND STREET, 8TH SECTOR,  K.K.NAGAR CHENNAI CHENNAI 600078",9791032005,Direct Broker (Life & General),S. ANANTHA RAMA KRISHNAN,04-Jul-2020,03-Jul-2023,po_ensign@ensigninsure.com
366,606,,Square Insurance Brokers Pvt. Ltd.,"Unit No 506, 5th Floor Trimurty V-Jai City Point Ahimsa Circle, C-Scheme J ipur 302001       ",,Direct Broker (Life & General),RAKESH KUMAR,10-Dec-2020,04-Jul-2023,RAKESHKUMAR.KALER@GMAIL.COM
367,607,,Edify Insurance Brokers Pvt. Ltd.,"No. 51, Ground floor, HAL 2nd Stage, Kodihalli,  Opp Udupi Park, Leela Palace Road, BANGALORE BANGALORE 560008",9902092092,Direct Broker (Life & General),ASHWINI KUMAR,11-Jul-2020,10-Jul-2023,ashwini@edifybrokers.com
368,608,,Westford Insurance Brokers & Risk Managers Pvt. Ltd.,"B/23, Nilambar Complex, Near St, Xaviers College Corner, H L Commerece College Road,  Navrangpura, AHMEDABAD AHMEDABAD 380009",9879508074,Direct Broker (Life & General),Surajit Gupta,02-Nov-2020,16-Jul-2023,westfordinsurance@gmail.com
369,609,,S R A Insurance Broker PVt. Ltd.,"D 64/127 CH, LOWER GROUND FLOOR ARIHANT COMPLEX  NAGAR NIGAN ROAD ,SIGRA VARANASI VARANASI 221010",9415201997,Direct Broker (Life & General),K K SRIVASTAV,20-Jul-2020,19-Jul-2023,jcsanjayrr@gmail.com
370,610,,Kapalin Insurance Broking Pvt. Ltd.,103 BHAVESHWAR COMPLEX KIROL VILLAGE  VIDYAVIHAR (w) MUMBAI CITY EAST MUMBAI 400086,9819800187,Direct Broker (General),Pramod Khasnis,07-Aug-2020,06-Aug-2023,karan@kapalinbroking.com
371,611,,Rexa Insurance Broking Services Pvt. Ltd.,"22/43, Swathi Court, G4 Ground Floor, Vijayaraghava Road  T Nagar CHENNAI CHENNAI 600017",9940080007,Direct Broker (Life & General),RAVICHANDRAN CHITRA,08-Aug-2020,07-Aug-2023,chitra@rexabroking.com
372,612,,PolicyInn Insurance Brokers Pvt Ltd,"6B, MAYURA SANKEERTHANA SURABHI ROAD  EDAPALLY ERNAKULAM ERNAKULAM 682024",9747873464,Direct Broker (Life & General),Augustine Thottunkal,11-Aug-2020,10-Aug-2023,policyinn@gmail.com
373,613,,Centrum Insurance Brokers Ltd.,NIL NIL  NIL     123456,0000000000,Direct Broker (Life & General),Hemendra Sawant,14-Aug-2020,13-Aug-2023,hemendra.sawant@centrum.co.in
374,614,,Garuda Insurance Broker Pvt. Ltd.,"2nd Floor, J R Tower, SCO-19 Above punjab National Bank, Sector - 31  Near NH-8, Jharsa Chowk GURGAON GURGAON 122001",9891020919,Direct Broker (General),Vikas Bishnoi,18-Aug-2020,17-Aug-2023,vikas.bishnoi@live.com
375,615,,Derisq Insurance Brokers Private Limited,"FF-24, Amrit Plaza, Plot No.1,Block-B,  Surya Nagar, Ghaziabad GHAZIABAD GHAZIABAD 201011",9810308362,Direct Broker (Life & General),Anshuman Agrawal,07-Sep-2020,06-Sep-2023,pocotopaxiinsurance@gmail.com
376,616,,Auxillium Insurance Broking Private Limited,Plot No. 61/4 Sector 28  Vashi NEW MUMBAI THANE 400703,9322290758,Direct Broker (Life & General),SUKANTA NAG,12-Sep-2020,11-Sep-2023,suk_nag@yahoo.co.in
377,617,,Volo Insurance Broking Services Pvt. Ltd.,"Plat No HIG-483, Flat No 402, Bhanu's Peddapudi Tower , 6th Phase JNTU-KPHB, Hyderabad Plat No HIG-483, Flat No 402, Bhanu's Peddapudi Tower , 6th Phase JNTU-KPHB, Hyderabad  Plat No HIG-483, Flat No 402, Bhanu's Peddapudi Tower , 6th Phase JNTU-KPHB, Hyderabad HYDERABAD HYDERABAD 500072",9440280660,Direct Broker (Life & General),NTC KUMAR,12-Sep-2020,11-Sep-2023,voloinsurance@gmail.com
378,618,,Anzen Insurance Broking Pvt Ltd,"102, Hubtown Viva Shankarwadi  Jogeshwari East JOGESHWARI EAST MUMBAI 400060",9773000623,Composite Broker,Mr Abhishek Patel,12-Sep-2020,11-Sep-2023,abhis212@gmail.com
379,619,,Notion Insurance Broker Pvt. Ltd.,Plot no 12 Archana Complex Mp Nagar  Zone 2 BHOPAL BHOPAL 462001,9303045722,Direct Broker (Life & General),BHARAT BHUSHAN SHRIVASTAVA,03-Oct-2020,02-Oct-2023,cecarun@gmail.com
380,620,,Narayan Insurance Brokers Pvt. Ltd.,"E-1/7, 3RD FLOOR  EAST PATEL NAGAR NEW DELHI CENTRAL DELHI 110008",9811727300,Direct Broker (Life & General),VANTIKA SARAF,13-Oct-2020,12-Oct-2023,ashishsaraf80@gmail.com
381,621,,Insurebee Insurance Brokers Pvt. Ltd.,"First Floor, Block No 4-1 KHB Complex  Kuvempunagar MYSORE MYSORE 570023",9535250485,Direct Broker (General),M DevadassUnni,13-Oct-2020,12-Oct-2023,insurebee@gmail.com
382,622,,Hopebox Insurance Broking Pvt. Ltd.,BLOCK NO 38 EMPRES TIME SQUARE 4TH FLOOR EMPRESS CITY  SANTRA MARKET NAGPUR NAGPUR 440002,9372391060,Direct Broker (General),ARUN DHOMNE,13-Oct-2020,12-Oct-2023,hopeboxpd@gmail.com
383,623,,Harita Insurance Broking LLP,Jayalakshmi Estates 29 Haddows Road  Nungambakkam CHENNAI CHENNAI 600006,9940032139,Direct Broker (General),GAYATHRI GOPINATH N,13-Oct-2020,12-Oct-2023,sridhar.s@tvscredit.com
384,624,,ANVITI INSURANCE BROKERS PRIVATE LIMITED,"Unit 102, 1st Floor The Estate, #121  Dickenson Road BANGALORE BANGALORE 560042",9986077551,Composite Broker,JONATHAN GRAHAME PIPE,16-Oct-2020,15-Oct-2023,cco@anviti.in
385,625,,DJT Insurance Brokers Pvt. Ltd.,"A2B, 8th Floor Sec-125  Noida 201303 NOIDA GAUTAM BUDDHA NAGAR 201303",1204846100,Direct Broker (Life & General),Dr. Devendra Pal Singh,26-Oct-2020,25-Oct-2023,po@djtinsurance.in
386,626,,SBM INSURANCE BROKERS PVT LTD,"No.72, Bhagirathi Appts, Sector-9  Rohini, Delhi NEW DELHI NEW DELHI 110085",9717916600,Direct Broker (General),MAMTA BANSAL,06-Nov-2020,05-Nov-2023,mamtabansal07@gmail.com
387,627,,Svojas Insurance Broking and Risk Management Services Private Limited,"6-3-655/1/201A,1st Floor Meera Mansion, Somajiguda Somajiguda  Hyderabad HYDERABAD HYDERABAD 500082",8096337337,Direct Broker (Life & General),KRISHNA KOGANTI KISHORE,10-Nov-2020,09-Nov-2023,po.svojasinsurancebrokers@micronsure.com
388,628,,Naresh Kalra Insurance Brokers LLP,"01, 1ST FLOOR NEELKANTH CHAMBER 1  LOCAL SHOPPING CENRE  SAINI ENCLAVE DELHI EAST EAST DELHI 110092",9868116283,Direct Broker (Life & General),NARESH KALRA,10-Nov-2020,09-Nov-2023,nareshkalra684@gmail.com
389,629,,FA PREMIUM INSURANCE BROKING PRIVATE LIMITED,NO.33/4(15/2-4) MASILAMANI ROAD  ROYPETTAH CHENNAI CHENNAI 600014,9176811155,Direct Broker (Life & General),YUVARAJA T,16-Nov-2020,15-Nov-2023,po.fapremium@gmail.com
